history_id,opportunity_id,from_stage,to_stage,changed_at,days_in_from_stage
OSH-000001,OPP-00001,Prospecting,Discovery,2026-04-16 23:00:00,10
OSH-000002,OPP-00001,Discovery,Proposal,2026-05-03 23:00:00,17
OSH-000003,OPP-00001,Proposal,Negotiation,2026-06-05 23:00:00,33
OSH-000004,OPP-00001,Negotiation,Closed Won,2026-06-19 23:00:00,14
OSH-000005,OPP-00002,Prospecting,Discovery,2026-06-19 23:00:00,7
OSH-000006,OPP-00002,Discovery,Proposal,2026-06-25 23:00:00,6
OSH-000007,OPP-00002,Proposal,Negotiation,2026-07-15 23:00:00,20
OSH-000008,OPP-00002,Negotiation,Closed Won,2026-07-22 23:00:00,7
OSH-000009,OPP-00003,Prospecting,Discovery,2026-04-03 23:00:00,9
OSH-000010,OPP-00003,Discovery,Proposal,2026-04-08 23:00:00,5
OSH-000011,OPP-00003,Proposal,Negotiation,2026-05-03 23:00:00,25
OSH-000012,OPP-00003,Negotiation,Closed Won,2026-05-13 23:00:00,10
OSH-000013,OPP-00004,Prospecting,Discovery,2026-08-24 23:00:00,9
OSH-000014,OPP-00004,Discovery,Proposal,2026-09-07 23:00:00,14
OSH-000015,OPP-00005,Prospecting,Discovery,2026-06-18 23:00:00,12
OSH-000016,OPP-00005,Discovery,Proposal,2026-06-30 23:00:00,12
OSH-000017,OPP-00005,Proposal,Negotiation,2026-07-24 23:00:00,24
OSH-000018,OPP-00005,Negotiation,Closed Won,2026-08-07 23:00:00,14
OSH-000019,OPP-00006,Prospecting,Discovery,2026-06-22 23:00:00,10
OSH-000020,OPP-00006,Discovery,Proposal,2026-07-06 23:00:00,14
OSH-000021,OPP-00006,Proposal,Negotiation,2026-07-24 23:00:00,18
OSH-000022,OPP-00006,Negotiation,Closed Won,2026-07-29 23:00:00,5
OSH-000023,OPP-00007,Prospecting,Discovery,2026-07-08 23:00:00,4
OSH-000024,OPP-00007,Discovery,Proposal,2026-07-13 23:00:00,5
OSH-000025,OPP-00007,Proposal,Negotiation,2026-08-07 23:00:00,25
OSH-000026,OPP-00007,Negotiation,Closed Won,2026-08-14 23:00:00,7
OSH-000027,OPP-00008,Prospecting,Discovery,2026-08-26 23:00:00,4
