account_id,account_name,domain,industry,employee_count,funding_stage,account_owner,sf_account_id,created_at,updated_at
ACC-00001,Alpha AI,alpha.ai,AI/ML,85,Series A,Priya Natarajan,,2026-03-03 18:00:00,2026-09-19 18:00:00
ACC-00002,EnterpriseGen,enterprisegen.com,SaaS,4200,Public,Marcus Lee,,2026-03-03 18:00:00,2026-09-19 18:00:00
ACC-00003,FastScale AI,fastscale.ai,AI/ML,3200,Series B,Elena Petrova,,2026-03-03 18:00:00,2026-09-19 18:00:00
ACC-00004,Cinder Labs,cinderlabs.com,Healthcare,60,Series A,Wei Zhang,,2026-05-08 18:00:00,2026-09-19 18:00:00
ACC-00005,Nova Robotics,novarobotics.com,Fintech,12,Seed,Marcus Lee,,2025-12-25 18:00:00,2026-09-19 18:00:00
ACC-00006,Harbor Logic,harborlogic.com,Developer Tools,4000,Series B,Sam Okafor,,2025-06-17 18:00:00,2026-09-19 18:00:00
ACC-00007,Kepler Pay,keplerpay.ai,E-commerce,12,Series C,Marcus Lee,,2025-06-14 18:00:00,2026-09-19 18:00:00
ACC-00008,Pixel Data,pixeldata.io,SaaS,8000,Series A,Priya Natarajan,,2025-07-27 18:00:00,2026-09-19 18:00:00
ACC-00009,Lumen Analytics,lumenanalytics.ai,Fintech,8000,Seed,Jordan Alvarez,,2025-02-17 18:00:00,2026-09-19 18:00:00
ACC-00010,Lumen Health,lumenhealth.com,Developer Tools,2600,Series B,Elena Petrova,,2025-01-06 18:00:00,2026-09-19 18:00:00
ACC-00011,Helix Robotics,,AI/ML,60,Series C,Priya Natarajan,,2025-12-25 18:00:00,2026-09-19 18:00:00
ACC-00012,Lumen Health Group,,Fintech,200,Seed,Elena Petrova,,2026-01-18 18:00:00,2026-09-19 18:00:00
ACC-00013,Nova Data,emberhealth.ai,Fintech,40,Series B,Marcus Lee,,2026-03-06 18:00:00,2026-09-19 18:00:00
ACC-00014,Ember Health,emberhealth.ai,Logistics,2600,Series C,Marcus Lee,,2025-09-22 18:00:00,2026-09-19 18:00:00
ACC-00015,Vector Cloud,pixelcloud.co,E-commerce,320,Series A,Marcus Lee,,2025-01-17 18:00:00,2026-09-19 18:00:00
ACC-00016,Pixel Cloud,pixelcloud.co,SaaS,2600,Series B,Elena Petrova,,2026-03-31 18:00:00,2026-09-19 18:00:00
ACC-00017,Kepler Robotics,keplerrobotics.ai,Healthcare,320,Series D,,,2025-08-15 18:00:00,2026-09-19 18:00:00
ACC-00018,Kepler Systems,keplersystems.co,AI/ML,12,Series D,,,2024-11-16 18:00:00,2026-09-19 18:00:00
ACC-00019,Signal Networks,signalnetworks.co,Fintech,320,Series A,Jordan Alvarez,,2025-02-25 18:00:00,2026-09-19 18:00:00
ACC-00020,Atlas Works,atlasworks.com,Fintech,25,Series C,Sam Okafor,,2025-11-20 18:00:00,2026-09-19 18:00:00
ACC-00021,Cinder Analytics,cinderanalytics.com,SaaS,40,Series B,Wei Zhang,,2025-11-24 18:00:00,2026-09-19 18:00:00
ACC-00022,Harbor Systems,harborsystems.com,E-commerce,120,Series D,Sam Okafor,,2024-12-05 18:00:00,2026-09-19 18:00:00
ACC-00023,Helix Systems,helixsystems.ai,Healthcare,800,Public,Sam Okafor,,2026-08-20 18:00:00,2026-09-19 18:00:00
ACC-00024,Ridge Analytics,ridgeanalytics.co,AI/ML,200,Series D,Elena Petrova,,2025-12-18 18:00:00,2026-09-19 18:00:00
ACC-00025,Vector Cloud Inc,vectorcloudinc.com,Healthcare,25,Public,Sam Okafor,,2026-04-14 18:00:00,2026-09-19 18:00:00
ACC-00026,Orbit Networks,orbitnetworks.co,Media,40,Series A,Sam Okafor,,2025-06-13 18:00:00,2026-09-19 18:00:00
