usage_id,account_id,month,api_calls,active_users,mom_growth_pct
USG-000001,ACC-00001,2026-04-01,5160000,95,29
USG-000002,ACC-00001,2026-05-01,6656400,99,29
USG-000003,ACC-00001,2026-06-01,8187372,103,23
USG-000004,ACC-00001,2026-07-01,10070467,105,23
USG-000005,ACC-00001,2026-08-01,12990902,103,29
USG-000006,ACC-00001,2026-09-01,15978809,102,23
USG-000007,ACC-00002,2026-04-01,1460000,16,46
USG-000008,ACC-00002,2026-05-01,2146200,21,47
USG-000009,ACC-00002,2026-06-01,3111990,22,45
USG-000010,ACC-00002,2026-07-01,4636865,21,49
USG-000011,ACC-00002,2026-08-01,6677085,25,44
USG-000012,ACC-00002,2026-09-01,9615002,25,44
USG-000013,ACC-00003,2026-04-01,5720000,240,28
USG-000014,ACC-00003,2026-05-01,8122400,232,27
USG-000015,ACC-00003,2026-06-01,11533808,224,30
USG-000016,ACC-00003,2026-07-01,17185373,216,28
USG-000017,ACC-00003,2026-08-01,25090644,208,30
USG-000018,ACC-00003,2026-09-01,35377808,260,40
USG-000019,ACC-00004,2026-04-01,5920000,16,48
USG-000020,ACC-00004,2026-05-01,8347199,16,41
USG-000021,ACC-00004,2026-06-01,11936494,18,43
USG-000022,ACC-00004,2026-07-01,16949821,24,42
USG-000023,ACC-00004,2026-08-01,24577240,26,45
USG-000024,ACC-00004,2026-09-01,35145453,32,43
USG-000025,ACC-00005,2026-04-01,1050000,30,5
USG-000026,ACC-00005,2026-05-01,1113000,29,6
USG-000027,ACC-00005,2026-06-01,1235430,32,11
USG-000028,ACC-00005,2026-07-01,1334264,32,8
USG-000029,ACC-00005,2026-08-01,1427662,37,7
USG-000030,ACC-00005,2026-09-01,1584704,36,11
USG-000031,ACC-00006,2026-04-01,206000,7,3
USG-000032,ACC-00006,2026-05-01,208060,5,1
USG-000033,ACC-00006,2026-06-01,218463,4,5
USG-000034,ACC-00006,2026-07-01,229386,6,5
USG-000035,ACC-00006,2026-08-01,236267,12,3
USG-000036,ACC-00006,2026-09-01,248080,12,5
USG-000037,ACC-00007,2026-04-01,258000,3,29
USG-000038,ACC-00007,2026-05-01,319920,4,24
USG-000039,ACC-00007,2026-06-01,399900,5,25
USG-000040,ACC-00007,2026-07-01,511872,2,28
USG-000041,ACC-00007,2026-08-01,639840,7,25
USG-000042,ACC-00007,2026-09-01,825393,11,29
USG-000043,ACC-00008,2026-04-01,11400000,91,-5
USG-000044,ACC-00008,2026-05-01,10374000,90,-9
USG-000045,ACC-00008,2026-06-01,9440340,92,-9
USG-000046,ACC-00008,2026-07-01,9157129,97,-3
USG-000047,ACC-00008,2026-08-01,8790843,95,-4
USG-000048,ACC-00008,2026-09-01,8439209,95,-4
USG-000049,ACC-00009,2026-04-01,4040000,133,1
USG-000050,ACC-00009,2026-05-01,4242000,133,5
USG-000051,ACC-00009,2026-06-01,4284420,139,1
USG-000052,ACC-00009,2026-07-01,4455796,142,4
USG-000053,ACC-00009,2026-08-01,4544911,143,2
USG-000054,ACC-00009,2026-09-01,4590360,147,1
USG-000055,ACC-00010,2026-04-01,4040000,123,1
USG-000056,ACC-00010,2026-05-01,4201600,129,4
USG-000057,ACC-00010,2026-06-01,4243616,126,1
USG-000058,ACC-00010,2026-07-01,4455796,124,5
USG-000059,ACC-00010,2026-08-01,4678585,126,5
USG-000060,ACC-00010,2026-09-01,5006085,124,7
USG-000061,ACC-00011,2026-04-01,192000,43,-4
USG-000062,ACC-00011,2026-05-01,178560,42,-7
USG-000063,ACC-00011,2026-06-01,169632,40,-5
USG-000064,ACC-00011,2026-07-01,156061,42,-8
USG-000065,ACC-00011,2026-08-01,151379,42,-3
USG-000066,ACC-00011,2026-09-01,137754,41,-9
USG-000067,ACC-00012,2026-04-01,12600000,84,5
USG-000068,ACC-00012,2026-05-01,13230000,84,5
USG-000069,ACC-00012,2026-06-01,14023800,83,6
USG-000070,ACC-00012,2026-07-01,14724990,82,5
USG-000071,ACC-00012,2026-08-01,15166739,81,3
USG-000072,ACC-00012,2026-09-01,15015071,84,-1
USG-000073,ACC-00013,2026-04-01,4120000,28,3
USG-000074,ACC-00013,2026-05-01,4408400,25,7
USG-000075,ACC-00013,2026-06-01,4716988,27,7
USG-000076,ACC-00013,2026-07-01,4716988,27,0
USG-000077,ACC-00013,2026-08-01,4811327,25,2
USG-000078,ACC-00013,2026-09-01,4907553,30,2
USG-000079,ACC-00014,2026-04-01,53500,14,7
USG-000080,ACC-00014,2026-05-01,54035,12,1
USG-000081,ACC-00014,2026-06-01,54035,11,0
USG-000082,ACC-00014,2026-07-01,54575,9,1
USG-000083,ACC-00014,2026-08-01,55120,7,1
USG-000084,ACC-00014,2026-09-01,57324,8,4
USG-000085,ACC-00015,2026-04-01,15120000,36,26
USG-000086,ACC-00015,2026-05-01,18597600,39,23
USG-000087,ACC-00015,2026-06-01,23990904,42,29
USG-000088,ACC-00015,2026-07-01,30948266,46,29
USG-000089,ACC-00015,2026-08-01,39304297,47,27
USG-000090,ACC-00015,2026-09-01,47558199,45,21
USG-000091,ACC-00016,2026-04-01,13919999,32,16
USG-000092,ACC-00016,2026-05-01,16564798,37,19
USG-000093,ACC-00016,2026-06-01,18386925,40,11
USG-000094,ACC-00016,2026-07-01,21144963,41,15
USG-000095,ACC-00016,2026-08-01,23893808,38,13
USG-000096,ACC-00016,2026-09-01,26522126,41,11
USG-000097,ACC-00017,2026-04-01,222000,136,11
USG-000098,ACC-00017,2026-05-01,246420,136,11
USG-000099,ACC-00017,2026-06-01,268597,141,9
USG-000100,ACC-00017,2026-07-01,292770,144,9
USG-000101,ACC-00017,2026-08-01,322047,145,10
USG-000102,ACC-00017,2026-09-01,354251,146,10
USG-000103,ACC-00018,2026-04-01,61500,114,23
USG-000104,ACC-00018,2026-05-01,76875,113,25
USG-000105,ACC-00018,2026-06-01,93787,119,22
USG-000106,ACC-00018,2026-07-01,115358,122,23
USG-000107,ACC-00018,2026-08-01,141890,121,23
USG-000108,ACC-00018,2026-09-01,173105,121,22
USG-000109,ACC-00019,2026-04-01,200000,4,0
USG-000110,ACC-00019,2026-05-01,206000,3,3
USG-000111,ACC-00019,2026-06-01,212180,8,3
USG-000112,ACC-00019,2026-07-01,216423,6,2
USG-000113,ACC-00019,2026-08-01,222915,10,3
USG-000114,ACC-00019,2026-09-01,238519,16,7
USG-000115,ACC-00020,2026-04-01,55500,25,11
USG-000116,ACC-00020,2026-05-01,61050,31,10
USG-000117,ACC-00020,2026-06-01,65934,37,8
USG-000118,ACC-00020,2026-07-01,73846,35,12
USG-000119,ACC-00020,2026-08-01,78276,40,6
USG-000120,ACC-00020,2026-09-01,83755,38,7
USG-000121,ACC-00021,2026-04-01,11280000,11,-6
USG-000122,ACC-00021,2026-05-01,10941600,14,-3
USG-000123,ACC-00021,2026-06-01,9956856,13,-9
USG-000124,ACC-00021,2026-07-01,9060738,10,-9
USG-000125,ACC-00021,2026-08-01,8245271,12,-9
USG-000126,ACC-00021,2026-09-01,7750554,11,-6
USG-000127,ACC-00022,2026-04-01,12480000,92,4
USG-000128,ACC-00022,2026-05-01,12355200,90,-1
USG-000129,ACC-00022,2026-06-01,11860992,92,-4
USG-000130,ACC-00022,2026-07-01,11386552,94,-4
USG-000131,ACC-00022,2026-08-01,11158820,95,-2
USG-000132,ACC-00022,2026-09-01,11047231,100,-1
USG-000133,ACC-00023,2026-04-01,214000,2,7
USG-000134,ACC-00023,2026-05-01,224700,8,5
USG-000135,ACC-00023,2026-06-01,226947,14,1
USG-000136,ACC-00023,2026-07-01,224677,11,-1
USG-000137,ACC-00023,2026-08-01,238157,14,6
USG-000138,ACC-00023,2026-09-01,254827,17,7
USG-000139,ACC-00024,2026-04-01,294000,120,47
USG-000140,ACC-00024,2026-05-01,423360,119,44
USG-000141,ACC-00024,2026-06-01,630806,119,49
USG-000142,ACC-00024,2026-07-01,939900,125,49
USG-000143,ACC-00024,2026-08-01,1381653,125,47
USG-000144,ACC-00024,2026-09-01,1989580,129,44
USG-000145,ACC-00025,2026-04-01,4640000,22,16
USG-000146,ACC-00025,2026-05-01,5521600,25,19
USG-000147,ACC-00025,2026-06-01,6239407,28,13
USG-000148,ACC-00025,2026-07-01,7362500,26,18
USG-000149,ACC-00025,2026-08-01,8393250,29,14
USG-000150,ACC-00025,2026-09-01,9987967,30,19
USG-000151,ACC-00026,2026-04-01,47000,2,-6
USG-000152,ACC-00026,2026-05-01,46530,1,-1
USG-000153,ACC-00026,2026-06-01,43738,1,-6
USG-000154,ACC-00026,2026-07-01,40676,1,-7
USG-000155,ACC-00026,2026-08-01,40269,6,-1
USG-000156,ACC-00026,2026-09-01,37852,8,-6
USG-000157,ACC-00027,2026-04-01,244000,126,22
USG-000158,ACC-00027,2026-05-01,312320,128,28
USG-000159,ACC-00027,2026-06-01,377907,131,21
USG-000160,ACC-00027,2026-07-01,483720,135,28
USG-000161,ACC-00027,2026-08-01,614324,133,27
USG-000162,ACC-00027,2026-09-01,743332,136,21
USG-000163,ACC-00028,2026-04-01,990000,50,-1
USG-000164,ACC-00028,2026-05-01,910800,51,-8
USG-000165,ACC-00028,2026-06-01,856152,49,-6
USG-000166,ACC-00028,2026-07-01,796221,53,-7
USG-000167,ACC-00028,2026-08-01,780296,56,-2
USG-000168,ACC-00028,2026-09-01,717872,60,-8
USG-000169,ACC-00029,2026-04-01,12600000,37,5
USG-000170,ACC-00029,2026-05-01,13482000,37,7
USG-000171,ACC-00029,2026-06-01,14425740,38,7
USG-000172,ACC-00029,2026-07-01,15002769,42,4
USG-000173,ACC-00029,2026-08-01,15152796,39,1
USG-000174,ACC-00029,2026-09-01,15304323,42,1
USG-000175,ACC-00030,2026-04-01,5080000,102,27
USG-000176,ACC-00030,2026-05-01,6451600,101,27
USG-000177,ACC-00030,2026-06-01,8129016,107,26
USG-000178,ACC-00030,2026-07-01,9917399,106,22
USG-000179,ACC-00030,2026-08-01,12495922,110,26
USG-000180,ACC-00030,2026-09-01,15494943,111,24
USG-000181,ACC-00031,2026-04-01,13559999,134,13
USG-000182,ACC-00031,2026-05-01,15729598,134,16
USG-000183,ACC-00031,2026-06-01,18089037,137,15
USG-000184,ACC-00031,2026-07-01,20078831,141,11
USG-000185,ACC-00031,2026-08-01,23090655,140,15
USG-000186,ACC-00031,2026-09-01,25630627,144,11
USG-000187,ACC-00032,2026-04-01,1020000,127,2
USG-000188,ACC-00032,2026-05-01,1020000,125,0
USG-000189,ACC-00032,2026-06-01,1050600,131,3
USG-000190,ACC-00032,2026-07-01,1071612,135,2
USG-000191,ACC-00032,2026-08-01,1028747,140,-4
USG-000192,ACC-00032,2026-09-01,987597,145,-4
USG-000193,ACC-00033,2026-04-01,12720000,121,6
USG-000194,ACC-00033,2026-05-01,13610400,123,7
USG-000195,ACC-00033,2026-06-01,14018712,126,3
USG-000196,ACC-00033,2026-07-01,14439273,124,3
USG-000197,ACC-00033,2026-08-01,15450022,124,7
USG-000198,ACC-00033,2026-09-01,16531523,125,7
USG-000199,ACC-00034,2026-04-01,53500,109,7
USG-000200,ACC-00034,2026-05-01,59385,114,11
USG-000201,ACC-00034,2026-06-01,64729,114,9
USG-000202,ACC-00034,2026-07-01,71201,120,10
USG-000203,ACC-00034,2026-08-01,79745,125,12
USG-000204,ACC-00034,2026-09-01,83732,128,5
USG-000205,ACC-00035,2026-04-01,950000,140,-5
USG-000206,ACC-00035,2026-05-01,912000,137,-4
USG-000207,ACC-00035,2026-06-01,848160,142,-7
USG-000208,ACC-00035,2026-07-01,822715,139,-3
USG-000209,ACC-00035,2026-08-01,789806,138,-4
USG-000210,ACC-00035,2026-09-01,726621,135,-8
USG-000211,ACC-00036,2026-04-01,206000,102,3
USG-000212,ACC-00036,2026-05-01,210120,105,2
USG-000213,ACC-00036,2026-06-01,210120,110,0
USG-000214,ACC-00036,2026-07-01,201715,107,-4
USG-000215,ACC-00036,2026-08-01,209783,106,4
USG-000216,ACC-00036,2026-09-01,209783,111,0
USG-000217,ACC-00037,2026-04-01,1120000,94,12
USG-000218,ACC-00037,2026-05-01,1243200,99,11
USG-000219,ACC-00037,2026-06-01,1479408,105,19
USG-000220,ACC-00037,2026-07-01,1760495,105,19
USG-000221,ACC-00037,2026-08-01,1954149,107,11
USG-000222,ACC-00037,2026-09-01,2305895,108,18
USG-000223,ACC-00038,2026-04-01,14160000,64,18
USG-000224,ACC-00038,2026-05-01,15859200,69,12
USG-000225,ACC-00038,2026-06-01,18396672,72,16
USG-000226,ACC-00038,2026-07-01,20972206,69,14
USG-000227,ACC-00038,2026-08-01,23698592,73,13
USG-000228,ACC-00038,2026-09-01,27490366,70,16
USG-000229,ACC-00039,2026-04-01,48000,5,-4
USG-000230,ACC-00039,2026-05-01,48960,8,2
USG-000231,ACC-00039,2026-06-01,47491,14,-3
USG-000232,ACC-00039,2026-07-01,47965,14,1
USG-000233,ACC-00039,2026-08-01,46046,16,-4
USG-000234,ACC-00039,2026-09-01,46966,17,2
USG-000235,ACC-00040,2026-04-01,72000,73,44
USG-000236,ACC-00040,2026-05-01,107280,74,49
USG-000237,ACC-00040,2026-06-01,157701,78,47
USG-000238,ACC-00040,2026-07-01,222358,83,41
USG-000239,ACC-00040,2026-08-01,329089,80,48
