signal_id,account_id,signal_type,signal_value,signal_source,signal_timestamp
SIG-000001,ACC-00003,pricing_page_visit,1,web_analytics,2026-09-16 09:00:00
SIG-000002,ACC-00003,pricing_page_visit,1,web_analytics,2026-09-10 09:00:00
SIG-000003,ACC-00003,pricing_page_visit,1,web_analytics,2026-08-29 08:00:00
SIG-000004,ACC-00003,job_posting_ml_engineer,2,clay,2026-09-07 16:00:00
SIG-000005,ACC-00003,website_visit,5,web_analytics,2026-09-17 01:00:00
SIG-000006,ACC-00003,website_visit,5,web_analytics,2026-09-04 04:00:00
SIG-000007,ACC-00003,website_visit,5,web_analytics,2026-08-10 18:00:00
SIG-000008,ACC-00003,product_usage_growth,40,product_telemetry,2026-09-18 07:00:00
SIG-000009,ACC-00001,website_visit,4,web_analytics,2026-09-13 12:00:00
SIG-000010,ACC-00001,pricing_page_visit,1,web_analytics,2026-09-14 09:00:00
SIG-000011,ACC-00002,website_visit,6,web_analytics,2026-09-09 00:00:00
SIG-000012,ACC-00002,demo_request,1,web_analytics,2026-08-20 09:00:00
SIG-000013,ACC-00190,website_visit,4,web_analytics,2026-05-17 17:00:00
SIG-000014,ACC-00040,job_posting_ml_engineer,1,clay,2026-06-05 20:00:00
SIG-000015,ACC-00121,open_source_model_interest,1,job_boards,2026-08-15 22:00:00
SIG-000016,ACC-00023,email_engagement,1,email_platform,2026-07-21 09:00:00
SIG-000017,ACC-00098,open_source_model_interest,1,job_boards,2026-05-27 10:00:00
SIG-000018,ACC-00063,website_visit,2,web_analytics,2026-08-08 04:00:00
SIG-000019,ACC-00108,website_visit,6,web_analytics,2026-07-03 04:00:00
SIG-000020,ACC-00010,website_visit,5,web_analytics,2026-06-28 14:00:00
SIG-000021,ACC-00066,open_source_model_interest,1,job_boards,2026-07-15 13:00:00
SIG-000022,ACC-00108,product_usage_growth,49,product_telemetry,2026-08-24 14:00:00
SIG-000023,ACC-00005,product_usage_growth,15,product_telemetry,2026-06-09 07:00:00
SIG-000024,ACC-00169,website_visit,5,web_analytics,2026-09-03 12:00:00
SIG-000025,ACC-00117,product_usage_growth,5,product_telemetry,2026-09-09 04:00:00
SIG-000026,ACC-00163,pricing_page_visit,1,web_analytics,2026-06-13 21:00:00
SIG-000027,ACC-00100,website_visit,3,web_analytics,2026-05-28 14:00:00
SIG-000028,ACC-00166,email_engagement,1,email_platform,2026-05-20 17:00:00
SIG-000029,ACC-00108,website_visit,4,web_analytics,2026-09-15 06:00:00
SIG-000030,ACC-00095,email_engagement,1,email_platform,2026-06-29 06:00:00
SIG-000031,ACC-00004,website_visit,4,web_analytics,2026-09-05 03:00:00
SIG-000032,ACC-00200,email_engagement,1,email_platform,2026-07-17 21:00:00
SIG-000033,ACC-00155,product_usage_growth,39,product_telemetry,2026-06-21 13:00:00
SIG-000034,ACC-00163,website_visit,6,web_analytics,2026-08-14 00:00:00
SIG-000035,ACC-00130,email_engagement,1,email_platform,2026-08-27 17:00:00
SIG-000036,ACC-00066,website_visit,8,web_analytics,2026-07-30 14:00:00
SIG-000037,ACC-00054,open_source_model_interest,1,job_boards,2026-08-13 00:00:00
SIG-000038,ACC-00040,funding_event,1,news_feed,2026-06-10 00:00:00
SIG-000039,ACC-00092,pricing_page_visit,1,web_analytics,2026-06-30 13:00:00
SIG-000040,ACC-00147,job_posting_ml_engineer,2,clay,2026-06-15 09:00:00
SIG-000041,ACC-00079,website_visit,1,web_analytics,2026-08-03 23:00:00
SIG-000042,ACC-00166,website_visit,2,web_analytics,2026-06-26 19:00:00
SIG-000043,ACC-00100,open_source_model_interest,1,job_boards,2026-05-28 18:00:00
SIG-000044,ACC-00066,job_posting_ml_engineer,3,clay,2026-09-19 17:00:00
SIG-000045,ACC-00193,pricing_page_visit,1,web_analytics,2026-06-15 07:00:00
SIG-000046,ACC-00029,product_usage_growth,47,product_telemetry,2026-09-01 17:00:00
SIG-000047,ACC-00098,website_visit,2,web_analytics,2026-08-07 06:00:00
SIG-000048,ACC-00006,email_engagement,1,email_platform,2026-09-12 05:00:00
SIG-000049,ACC-00046,email_engagement,1,email_platform,2026-08-25 08:00:00
SIG-000050,ACC-00063,pricing_page_visit,1,web_analytics,2026-07-21 15:00:00
SIG-000051,ACC-00163,email_engagement,1,email_platform,2026-06-19 18:00:00
SIG-000052,ACC-00092,product_usage_growth,2,product_telemetry,2026-09-13 12:00:00
SIG-000053,ACC-00092,open_source_model_interest,1,job_boards,2026-06-10 03:00:00
SIG-000054,ACC-00173,website_visit,7,web_analytics,2026-06-14 07:00:00
SIG-000055,ACC-00005,website_visit,8,web_analytics,2026-07-13 00:00:00
SIG-000056,ACC-00198,job_posting_ml_engineer,1,clay,2026-06-06 00:00:00
SIG-000057,ACC-00005,product_usage_growth,20,product_telemetry,2026-05-21 09:00:00
SIG-000058,ACC-00191,website_visit,3,web_analytics,2026-08-06 13:00:00
SIG-000059,ACC-00053,website_visit,7,web_analytics,2026-07-29 22:00:00
SIG-000060,ACC-00166,website_visit,2,web_analytics,2026-06-10 01:00:00
