enrichment_id,account_id,domain,employee_count,funding_stage,funding_amount_usd,tech_stack,open_ml_roles,open_data_infra_roles,company_summary,personalization_hook,enrichment_source,enriched_at
ENR-00001,ACC-00001,acme-ai.example,85,Series A,8000000,"databricks,go,kubernetes,react,spark",1,4,Acme AI is a Series A AI/ML company with roughly 85 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-14 23:00:00
ENR-00002,ACC-00002,globex-enterprise.example,4200,Public,0,"postgres,python,snowflake,spark",0,4,Globex Enterprise is a Public SaaS company with roughly 4200 employees.,your saas roadmap and recent Public momentum,clay_csv,2026-09-02 23:00:00
ENR-00003,ACC-00003,initech-ml.example,3200,Series B,45000000,"kubernetes,pytorch",2,3,Initech ML builds inference infrastructure for mid-market ML teams; product usage grew 40% month over month.,your recent push into multi-region inference and the open ML platform roles you're hiring for,clay_csv,2026-09-14 23:00:00
ENR-00004,ACC-00004,cinderlabs.com,60,Series A,150000000,"gcp,postgres,python,pytorch,snowflake",3,0,Cinder Labs is a Series A Healthcare company with roughly 60 employees.,your healthcare roadmap and recent Series A momentum,clay_csv,2026-09-06 23:00:00
ENR-00006,ACC-00006,harborlogic.com,4000,Series B,0,"gcp,python,pytorch,snowflake",0,2,Harbor Logic is a Series B Developer Tools company with roughly 4000 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-08-30 23:00:00
ENR-00007,ACC-00007,keplerpay.ai,12,Series C,0,"aws,go,huggingface,postgres",0,0,Kepler Pay is a Series C E-commerce company with roughly 12 employees.,your e-commerce roadmap and recent Series C momentum,clay_csv,2026-08-31 23:00:00
ENR-00009,ACC-00009,lumenanalytics.ai,8000,Seed,150000000,"go,huggingface,react",1,0,Lumen Analytics is a Seed Fintech company with roughly 8000 employees.,your fintech roadmap and recent Seed momentum,clay_csv,2026-09-06 23:00:00
ENR-00010,ACC-00010,lumenhealth.com,2600,Series B,2000000,"gcp,python",1,0,Lumen Health is a Series B Developer Tools company with roughly 2600 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-06 23:00:00
ENR-00011,ACC-00011,,60,Series C,0,"go,postgres",3,2,Helix Robotics is a Series C AI/ML company with roughly 60 employees.,your ai/ml roadmap and recent Series C momentum,clay_csv,2026-09-02 23:00:00
ENR-00013,ACC-00013,emberhealth.ai,40,Series B,2000000,"databricks,gcp,go,python,snowflake",0,0,Nova Data is a Series B Fintech company with roughly 40 employees.,your fintech roadmap and recent Series B momentum,clay_csv,2026-09-14 23:00:00
ENR-00014,ACC-00014,emberhealth.ai,2600,Series C,2000000,"huggingface,react",0,4,Ember Health is a Series C Logistics company with roughly 2600 employees.,your logistics roadmap and recent Series C momentum,clay_csv,2026-09-03 23:00:00
ENR-00015,ACC-00015,pixelcloud.co,320,Series A,0,"databricks,kubernetes,postgres,python,snowflake",3,4,Vector Cloud is a Series A E-commerce company with roughly 320 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-19 23:00:00
ENR-00016,ACC-00016,pixelcloud.co,2600,Series B,0,"go,snowflake",0,1,Pixel Cloud is a Series B SaaS company with roughly 2600 employees.,your saas roadmap and recent Series B momentum,clay_csv,2026-09-15 23:00:00
ENR-00018,ACC-00018,keplersystems.co,12,Series D,150000000,"aws,go,huggingface,postgres,pytorch",5,0,Kepler Systems is a Series D AI/ML company with roughly 12 employees.,your ai/ml roadmap and recent Series D momentum,clay_csv,2026-09-05 23:00:00
ENR-00020,ACC-00020,atlasworks.com,25,Series C,2000000,"databricks,huggingface,postgres,react",0,0,Atlas Works is a Series C Fintech company with roughly 25 employees.,your fintech roadmap and recent Series C momentum,clay_csv,2026-09-11 23:00:00
ENR-00022,ACC-00022,harborsystems.com,120,Series D,150000000,"snowflake,spark",1,1,Harbor Systems is a Series D E-commerce company with roughly 120 employees.,your e-commerce roadmap and recent Series D momentum,clay_csv,2026-09-11 23:00:00
ENR-00023,ACC-00023,helixsystems.ai,800,Public,8000000,"aws,databricks,postgres,react,snowflake",1,2,Helix Systems is a Public Healthcare company with roughly 800 employees.,your healthcare roadmap and recent Public momentum,clay_csv,2026-09-08 23:00:00
ENR-00024,ACC-00024,ridgeanalytics.co,200,Series D,150000000,"databricks,huggingface",3,1,Ridge Analytics is a Series D AI/ML company with roughly 200 employees.,your ai/ml roadmap and recent Series D momentum,clay_csv,2026-09-17 23:00:00
ENR-00025,ACC-00025,vectorcloudinc.com,25,Public,2000000,"huggingface,kubernetes,pytorch,snowflake",0,4,Vector Cloud Inc is a Public Healthcare company with roughly 25 employees.,your healthcare roadmap and recent Public momentum,clay_csv,2026-09-10 23:00:00
ENR-00026,ACC-00026,orbitnetworks.co,40,Series A,0,"databricks,huggingface,postgres,python,snowflake",5,2,Orbit Networks is a Series A Media company with roughly 40 employees.,your media roadmap and recent Series A momentum,clay_csv,2026-09-11 23:00:00
ENR-00027,ACC-00027,helixworks.io,320,Public,60000000,"aws,go,python,react,snowflake",0,0,Helix Works is a Public Healthcare company with roughly 320 employees.,your healthcare roadmap and recent Public momentum,clay_csv,2026-08-31 23:00:00
ENR-00028,ACC-00028,emberworks.co,60,Seed,0,"gcp,spark",2,0,Ember Works is a Seed AI/ML company with roughly 60 employees.,your ai/ml roadmap and recent Seed momentum,clay_csv,2026-09-08 23:00:00
ENR-00029,ACC-00029,meridiancloud.io,4000,Series B,25000000,"postgres,snowflake,spark",3,0,Meridian Cloud is a Series B AI/ML company with roughly 4000 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-08 23:00:00
ENR-00030,ACC-00030,vectoranalytics.com,120,Series C,0,"databricks,gcp,kubernetes,snowflake",0,4,Vector Analytics is a Series C Developer Tools company with roughly 120 employees.,your developer tools roadmap and recent Series C momentum,clay_csv,2026-09-16 23:00:00
ENR-00032,ACC-00032,lumennetworks.co,320,Series B,25000000,"huggingface,kubernetes",3,2,Lumen Networks is a Series B SaaS company with roughly 320 employees.,your saas roadmap and recent Series B momentum,clay_csv,2026-09-05 23:00:00
ENR-00033,ACC-00033,novanetworks.com,4000,Series A,60000000,"aws,gcp,postgres,pytorch,spark",3,1,Nova Networks is a Series A AI/ML company with roughly 4000 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-14 23:00:00
ENR-00034,ACC-00034,helixcloud.co,40,Series A,150000000,"pytorch,react,snowflake,spark",2,0,Helix Cloud is a Series A AI/ML company with roughly 40 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-02 23:00:00
ENR-00035,ACC-00035,emberworksinc.com,800,Series D,60000000,"gcp,react,snowflake",1,0,Ember Works Inc is a Series D Fintech company with roughly 800 employees.,your fintech roadmap and recent Series D momentum,clay_csv,2026-09-16 23:00:00
ENR-00036,ACC-00036,signalhealth.co,320,Series D,150000000,"postgres,python,react,snowflake,spark",0,0,Signal Health is a Series D Developer Tools company with roughly 320 employees.,your developer tools roadmap and recent Series D momentum,clay_csv,2026-09-02 23:00:00
ENR-00037,ACC-00037,nimbushealth.ai,8000,Series B,2000000,"databricks,go,huggingface,postgres,react",0,0,Nimbus Health is a Series B Media company with roughly 8000 employees.,your media roadmap and recent Series B momentum,clay_csv,2026-09-01 23:00:00
ENR-00038,ACC-00038,novaroboticstech.io,60,Public,8000000,"aws,huggingface,react,snowflake,spark",1,0,Nova Robotics Tech is a Public AI/ML company with roughly 60 employees.,your ai/ml roadmap and recent Public momentum,clay_csv,2026-09-15 23:00:00
ENR-00039,ACC-00039,vectorrobotics.ai,1500,Series B,25000000,"aws,kubernetes,spark",0,0,Vector Robotics is a Series B AI/ML company with roughly 1500 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-09 23:00:00
ENR-00040,ACC-00040,vectorworks.com,25,Series B,25000000,"gcp,kubernetes,pytorch,react",0,1,Vector Works is a Series B E-commerce company with roughly 25 employees.,your e-commerce roadmap and recent Series B momentum,clay_csv,2026-09-11 23:00:00
ENR-00041,ACC-00041,beaconlabs.io,12,Series B,25000000,"react,spark",1,4,Beacon Labs is a Series B Developer Tools company with roughly 12 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-14 23:00:00
ENR-00042,ACC-00042,summitworks.ai,60,Series C,0,"go,python,pytorch,spark",3,0,Summit Works is a Series C Media company with roughly 60 employees.,your media roadmap and recent Series C momentum,clay_csv,2026-09-18 23:00:00
ENR-00043,ACC-00043,atlashealth.io,120,Series B,60000000,"databricks,go,huggingface",3,1,Atlas Health is a Series B Fintech company with roughly 120 employees.,your fintech roadmap and recent Series B momentum,clay_csv,2026-08-30 23:00:00
ENR-00045,ACC-00045,quantacloud.ai,500,Series D,60000000,"databricks,gcp,kubernetes,postgres",3,1,Quanta Cloud is a Series D SaaS company with roughly 500 employees.,your saas roadmap and recent Series D momentum,clay_csv,2026-09-05 23:00:00
ENR-00046,ACC-00046,ridgenetworks.com,800,Series A,8000000,"aws,gcp,huggingface,postgres,snowflake",0,0,Ridge Networks is a Series A Fintech company with roughly 800 employees.,your fintech roadmap and recent Series A momentum,clay_csv,2026-09-09 23:00:00
ENR-00047,ACC-00047,orbitdata.com,4000,Series B,8000000,"react,snowflake,spark",1,1,Orbit Data is a Series B E-commerce company with roughly 4000 employees.,your e-commerce roadmap and recent Series B momentum,clay_csv,2026-09-16 23:00:00
ENR-00048,ACC-00048,ridgecloud.ai,2600,Series D,2000000,"aws,gcp,kubernetes,python,pytorch",2,0,Ridge Cloud is a Series D AI/ML company with roughly 2600 employees.,your ai/ml roadmap and recent Series D momentum,clay_csv,2026-09-07 23:00:00
