quote_id,account_id,account_name,product_id,monthly_commitment,quantity,contract_term_months,discount_percent,payment_terms,custom_pricing,forecasted_units,custom_overage_rate,requested_at
Q-00001,ACC-00001,Alpha AI,PRD-API-STARTER,5000,1,12,5,Net 30,False,4000000,,2026-09-18 18:00:00
Q-00002,ACC-00002,EnterpriseGen,PRD-ENT-PLATFORM,50000,1,12,25,Net 60,False,45000000,1e-06,2026-09-18 18:00:00
Q-00003,ACC-00196,Cinder Networks Tech,PRD-API-BASE,10000,1,12,20,Net 60,False,13000000,,2026-09-19 05:00:00
Q-00004,ACC-00197,Zenith Cloud,PRD-API-STARTER,5000,1,12,18,Net 90,False,5000000,1e-06,2026-09-18 15:00:00
Q-00005,ACC-00136,Nova Cloud,PRD-API-BASE,10000,1,12,12,Net 30,False,9000000,,2026-09-17 12:00:00
Q-00006,ACC-00151,Cobalt Logic,PRD-SUPPORT-PREM,3000,1,24,5,Net 30,True,,,2026-09-16 05:00:00
Q-00007,ACC-00009,Lumen Analytics,PRD-API-STARTER,5000,1,12,8,Net 60,False,5000000,,2026-09-19 10:00:00
Q-00008,ACC-00117,Cobalt Robotics,PRD-API-STARTER,5000,1,24,10,Net 30,False,6500000,1e-06,2026-09-17 11:00:00
Q-00009,ACC-00009,Lumen Analytics,PRD-ENT-PLATFORM,50000,1,36,18,Net 60,False,45000000,,2026-09-19 04:00:00
Q-00010,ACC-00109,Delta Robotics,PRD-SUPPORT-PREM,2000,1,12,10,Net 30,False,,,2026-09-14 17:00:00
Q-00011,ACC-00135,Summit Networks,PRD-API-BASE,10000,1,12,8,Net 30,False,18000000,,2026-09-18 02:00:00
Q-00012,ACC-00196,Cinder Networks Tech,PRD-API-STARTER,5000,1,6,5,Net 60,False,9000000,1e-06,2026-09-14 01:00:00
Q-00013,ACC-00197,Zenith Cloud,PRD-API-BASE,10000,1,6,15,Net 30,False,10000000,,2026-09-17 23:00:00
Q-00014,ACC-00039,Vector Robotics,PRD-API-STARTER,6000,1,36,0,Annual Prepaid,True,6500000,1e-06,2026-09-19 00:00:00
Q-00015,ACC-00106,Summit Health,PRD-API-BASE,10000,1,12,8,Net 30,False,5000000,,2026-09-18 23:00:00
Q-00016,ACC-00177,Delta Analytics,PRD-SUPPORT-PREM,1600,1,12,25,Annual Prepaid,True,,,2026-09-15 22:00:00
Q-00017,ACC-00024,Ridge Analytics,PRD-API-BASE,10000,1,12,10,Net 30,False,18000000,,2026-09-18 07:00:00
Q-00018,ACC-00200,Ember Logic Group,PRD-API-STARTER,5000,1,12,10,Net 30,False,9000000,,2026-09-17 22:00:00
Q-00019,ACC-00071,Kepler Systems Tech,PRD-API-STARTER,5000,1,6,5,Net 30,False,9000000,,2026-09-19 15:00:00
Q-00020,ACC-00176,Vector Cloud Tech,PRD-ENT-PLATFORM,50000,1,36,5,Net 90,False,25000000,,2026-09-18 06:00:00
Q-00021,ACC-00148,Nimbus Logic Group,PRD-API-BASE,10000,1,12,0,Net 30,False,5000000,,2026-09-18 00:00:00
Q-00022,ACC-00116,Zenith Analytics,PRD-API-STARTER,5000,1,12,30,Net 30,False,4500000,,2026-09-16 09:00:00
Q-00023,ACC-00172,Signal Analytics,PRD-ENT-PLATFORM,50000,1,6,15,Net 60,False,25000000,,2026-09-16 14:00:00
Q-00024,ACC-00110,Cinder Logic,PRD-API-BASE,10000,1,6,0,Annual Prepaid,False,10000000,1e-06,2026-09-19 14:00:00
Q-00025,ACC-00091,Cobalt Systems,PRD-SUPPORT-PREM,2000,1,12,20,Annual Prepaid,False,,,2026-09-19 05:00:00
Q-00026,ACC-00170,Forge AI,PRD-SUPPORT-PREM,2000,1,12,10,Annual Prepaid,False,,,2026-09-16 15:00:00
Q-00027,ACC-00088,Kepler Labs,PRD-API-STARTER,5000,1,12,18,Net 30,False,9000000,,2026-09-18 08:00:00
Q-00028,ACC-00014,Ember Health,PRD-API-BASE,8000,1,36,10,Net 30,True,5000000,,2026-09-19 05:00:00
Q-00029,ACC-00042,Summit Works,PRD-API-BASE,10000,1,12,8,Net 30,False,10000000,,2026-09-18 17:00:00
Q-00030,ACC-00173,Vector Systems,PRD-SUPPORT-PREM,2000,1,12,10,Annual Prepaid,False,,,2026-09-14 12:00:00
Q-00031,ACC-00168,Kepler Labs Group,PRD-API-BASE,10000,1,12,0,Net 30,False,13000000,,2026-09-18 22:00:00
Q-00032,ACC-00102,Cinder Pay,PRD-SUPPORT-PREM,2000,1,12,10,Net 30,False,,,2026-09-16 16:00:00
Q-00033,ACC-00139,Ember Data Co,PRD-API-STARTER,7500,1,12,0,Net 30,True,6500000,,2026-09-18 09:00:00
Q-00034,ACC-00072,Meridian Logic,PRD-API-STARTER,5000,1,6,8,Annual Prepaid,False,5000000,,2026-09-16 02:00:00
Q-00035,ACC-00005,Nova Robotics,PRD-API-STARTER,7500,1,6,5,Annual Prepaid,True,4500000,,2026-09-19 06:00:00
Q-00036,ACC-00059,Beacon Networks,PRD-API-BASE,8000,1,12,25,Net 30,True,13000000,,2026-09-19 17:00:00
Q-00037,ACC-00050,Cinder Data,PRD-API-BASE,10000,1,6,10,Net 60,False,5000000,,2026-09-14 05:00:00
Q-00038,ACC-00170,Forge AI,PRD-ENT-PLATFORM,60000,1,6,5,Net 30,True,50000000,,2026-09-18 06:00:00
Q-00039,ACC-00060,Summit Data,PRD-API-BASE,10000,1,36,10,Net 30,False,13000000,,2026-09-18 17:00:00
Q-00040,ACC-00066,Summit Logic,PRD-SUPPORT-PREM,2000,1,36,5,Net 60,False,,,2026-09-16 13:00:00
Q-00041,ACC-00034,Helix Cloud,PRD-API-STARTER,5000,1,36,10,Net 30,False,5000000,,2026-09-18 04:00:00
Q-00042,ACC-00042,Summit Works,PRD-SUPPORT-PREM,2000,1,24,5,Net 30,False,,,2026-09-16 22:00:00
Q-00043,ACC-00163,Cobalt Labs Inc,PRD-SUPPORT-PREM,2000,1,36,12,Net 30,False,,,2026-09-17 23:00:00
Q-00044,ACC-00128,Nova Networks Co,PRD-SUPPORT-PREM,2000,1,6,12,Net 30,False,,,2026-09-19 09:00:00
Q-00045,ACC-00051,Lumen Labs,PRD-API-BASE,10000,1,36,5,Net 30,False,9000000,,2026-09-18 04:00:00
Q-00046,ACC-00105,Kepler Labs Tech,PRD-API-STARTER,5000,1,12,25,Annual Prepaid,False,4500000,,2026-09-17 22:00:00
Q-00047,ACC-00155,Kepler Systems Co,PRD-SUPPORT-PREM,2000,1,6,12,Net 30,False,,,2026-09-14 00:00:00
Q-00048,ACC-00067,Signal Networks Inc,PRD-API-STARTER,5000,1,24,120,Net 60,False,9000000,,2026-09-17 02:00:00
Q-00049,ACC-00119,Nova Works,PRD-API-BASE,7000,1,12,18,Net 30,False,9000000,,2026-09-16 12:00:00
Q-00050,ACC-00016,Pixel Cloud,PRD-API-BASE,10000,1,12,5,Net 45,False,5000000,,2026-09-18 22:00:00
