opportunity_id,account_id,name,amount,stage,created_at,close_date,is_closed,is_won,source_tier,sf_opportunity_id
OPP-00001,ACC-00001,Alpha AI - API expansion,,Closed Won,2026-04-06,2026-06-19,True,True,Tier 1,
OPP-00002,ACC-00001,Alpha AI - Enterprise rollout,60000,Closed Won,2026-06-12,2026-07-22,True,True,Tier 1,
OPP-00003,ACC-00002,EnterpriseGen - New workload,120000,Closed Won,2026-03-25,2026-05-13,True,True,Tier 1,
OPP-00004,ACC-00002,EnterpriseGen - Platform renewal,60000,Proposal,2026-08-15,2026-10-04,False,False,Tier 1,
OPP-00005,ACC-00003,FastScale AI - New workload,36000,Closed Won,2026-06-06,2026-08-07,True,True,Tier 1,
OPP-00006,ACC-00003,FastScale AI - Enterprise rollout,96000,Closed Won,2026-06-12,2026-07-29,True,True,Tier 1,
OPP-00007,ACC-00139,Ember Data Co - API expansion,120000,Closed Won,2026-07-04,2026-08-14,True,True,Tier 1,
OPP-00008,ACC-00194,Atlas Robotics - Platform renewal,120000,Closed Lost,2026-08-22,2026-09-03,True,False,Tier 1,
OPP-00009,ACC-00194,Atlas Robotics - New workload,120000,Closed Won,2026-04-15,2026-05-25,True,True,Tier 1,
OPP-00010,ACC-00052,Orbit AI - New workload,120000,Proposal,2026-08-30,2026-10-11,False,False,Tier 1,
OPP-00011,ACC-00052,Orbit AI - API expansion,96000,Closed Lost,2026-05-07,2026-06-26,True,False,Tier 1,
OPP-00012,ACC-00199,Signal Systems - New workload,450000,Closed Won,2026-04-27,2026-06-23,True,True,Tier 1,
OPP-00013,ACC-00199,Signal Systems - Platform renewal,96000,Closed Lost,2026-07-31,2026-08-03,True,False,Tier 1,
OPP-00014,ACC-00157,Signal Labs Inc - API expansion,57000,Closed Won,2026-04-13,2026-06-03,True,True,Tier 1,
OPP-00015,ACC-00157,Signal Labs Inc - API expansion,120000,Closed Lost,2026-06-30,2026-07-26,True,False,Tier 1,
OPP-00016,ACC-00025,Vector Cloud Inc - Enterprise rollout,24000,Closed Won,2026-05-09,2026-06-27,True,True,Tier 1,
OPP-00017,ACC-00025,Vector Cloud Inc - Enterprise rollout,60000,Closed Won,2026-03-30,2026-05-10,True,True,Tier 1,
OPP-00018,ACC-00043,Atlas Health - API expansion,24000,Closed Lost,2026-06-24,2026-08-22,True,False,Tier 1,
OPP-00019,ACC-00043,Atlas Health - API expansion,57000,Closed Lost,2026-03-31,2026-04-03,True,False,Tier 1,
OPP-00020,ACC-00036,Signal Health - API expansion,36000,Closed Lost,2026-03-26,2026-05-13,True,False,Tier 1,
OPP-00021,ACC-00036,Signal Health - API expansion,60000,Negotiation,2026-08-07,2026-12-09,False,False,Tier 1,
OPP-00022,ACC-00107,Helix Networks Co - Platform renewal,240000,Closed Lost,2026-07-20,2026-09-14,True,False,Tier 1,
OPP-00023,ACC-00107,Helix Networks Co - New workload,24000,Negotiation,2026-07-24,2026-11-14,False,False,Tier 1,
OPP-00024,ACC-00006,Harbor Logic - API expansion,24000,Closed Lost,2026-04-30,2026-06-25,True,False,Tier 1,
OPP-00025,ACC-00006,Harbor Logic - Enterprise rollout,36000,Closed Won,2026-05-09,2026-07-01,True,True,Tier 1,
OPP-00026,ACC-00011,Helix Robotics - Enterprise rollout,240000,Closed Lost,2026-05-23,2026-07-06,True,False,Tier 1,
OPP-00027,ACC-00011,Helix Robotics - Platform renewal,120000,Closed Lost,2026-08-30,2026-09-05,True,False,Tier 1,
OPP-00028,ACC-00005,Nova Robotics - API expansion,36000,Closed Lost,2026-05-24,2026-07-08,True,False,Tier 1,
OPP-00029,ACC-00005,Nova Robotics - API expansion,240000,Closed Lost,2026-07-06,2026-07-27,True,False,Tier 1,
OPP-00030,ACC-00021,Cinder Analytics - New workload,24000,Closed Lost,2026-07-01,2026-07-21,True,False,Tier 2,
OPP-00031,ACC-00078,Nimbus Logic - API expansion,36000,Closed Won,2026-07-28,2026-09-19,True,True,Tier 2,
OPP-00032,ACC-00080,Pixel Networks Tech - New workload,60000,Negotiation,2026-08-15,2026-11-26,False,False,Tier 2,
OPP-00033,ACC-00016,Pixel Cloud - API expansion,120000,Closed Lost,2026-05-03,2026-06-07,True,False,Tier 2,
OPP-00034,ACC-00016,Pixel Cloud - New workload,240000,Proposal,2026-08-18,2026-11-05,False,False,Tier 2,
OPP-00035,ACC-00171,Cinder AI - Platform renewal,57000,Closed Lost,2026-06-22,2026-08-23,True,False,Tier 2,
OPP-00036,ACC-00172,Signal Analytics - Enterprise rollout,36000,Proposal,2026-08-07,2026-12-14,False,False,Tier 2,
OPP-00037,ACC-00172,Signal Analytics - New workload,120000,Closed Lost,2026-06-02,2026-07-01,True,False,Tier 2,
OPP-00038,ACC-00182,Delta Robotics Group - Enterprise rollout,57000,Closed Won,2026-05-19,2026-07-11,True,True,Tier 2,
OPP-00039,ACC-00123,Zenith Pay - New workload,60000,Closed Lost,2026-08-27,2026-09-16,True,False,Tier 2,
OPP-00040,ACC-00106,Summit Health - Platform renewal,24000,Closed Lost,2026-05-14,2026-06-05,True,False,Tier 2,
OPP-00041,ACC-00106,Summit Health - API expansion,240000,Closed Lost,2026-05-15,2026-05-28,True,False,Tier 2,
OPP-00042,ACC-00041,Beacon Labs - API expansion,120000,Closed Won,2026-04-23,2026-05-23,True,True,Tier 2,
OPP-00043,ACC-00161,Ember Labs Inc - Platform renewal,24000,Closed Won,2026-05-14,2026-07-03,True,True,Tier 2,
OPP-00044,ACC-00189,Ember Logic Inc - New workload,96000,Closed Lost,2026-06-08,2026-07-11,True,False,Tier 2,
OPP-00045,ACC-00189,Ember Logic Inc - API expansion,36000,Closed Lost,2026-07-07,2026-08-16,True,False,Tier 2,
OPP-00046,ACC-00200,Ember Logic Group - New workload,240000,Closed Lost,2026-08-10,2026-08-19,True,False,Tier 2,
OPP-00047,ACC-00200,Ember Logic Group - Enterprise rollout,60000,Closed Lost,2026-05-19,2026-06-19,True,False,Tier 2,
OPP-00048,ACC-00082,Vector Data - Enterprise rollout,450000,Closed Lost,2026-03-23,2026-05-10,True,False,Tier 2,
OPP-00049,ACC-00170,Forge AI - Platform renewal,96000,Proposal,2026-08-08,2026-10-22,False,False,Tier 2,
OPP-00050,ACC-00173,Vector Systems - Enterprise rollout,120000,Closed Lost,2026-03-29,2026-04-29,True,False,Tier 2,
OPP-00051,ACC-00062,Nimbus Works - Enterprise rollout,60000,Closed Lost,2026-07-27,2026-08-08,True,False,Tier 2,
OPP-00052,ACC-00012,Lumen Health Group - Enterprise rollout,24000,Closed Lost,2026-06-25,2026-08-27,True,False,Tier 2,
OPP-00053,ACC-00076,Orbit Systems - Platform renewal,57000,Closed Lost,2026-03-25,2026-04-13,True,False,Tier 2,
OPP-00054,ACC-00148,Nimbus Logic Group - New workload,120000,Closed Lost,2026-04-16,2026-05-09,True,False,Tier 2,
OPP-00055,ACC-00022,Harbor Systems - New workload,36000,Proposal,2026-08-30,2026-12-04,False,False,Tier 2,
OPP-00056,ACC-00022,Harbor Systems - Enterprise rollout,57000,Closed Lost,2026-06-16,2026-06-22,True,False,Tier 2,
OPP-00057,ACC-00059,Beacon Networks - New workload,57000,Proposal,2026-08-12,2026-10-09,False,False,Tier 2,
OPP-00058,ACC-00059,Beacon Networks - API expansion,120000,Closed Lost,2026-06-23,2026-06-28,True,False,Tier 2,
OPP-00059,ACC-00198,Meridian Robotics Inc - API expansion,240000,Closed Lost,2026-06-09,2026-08-01,True,False,Tier 2,
OPP-00060,ACC-00034,Helix Cloud - Platform renewal,240000,Closed Lost,2026-08-30,2026-09-06,True,False,Tier 2,
OPP-00061,ACC-00008,Pixel Data - Platform renewal,57000,Closed Lost,2026-07-22,2026-07-31,True,False,Tier 2,
OPP-00062,ACC-00008,Pixel Data - Enterprise rollout,450000,Closed Lost,2026-07-29,2026-09-03,True,False,Tier 2,
OPP-00063,ACC-00056,Atlas Systems - New workload,24000,Closed Won,2026-04-30,2026-06-15,True,True,Tier 2,
OPP-00064,ACC-00136,Nova Cloud - New workload,96000,Closed Lost,2026-03-24,2026-04-15,True,False,Tier 2,
OPP-00065,ACC-00151,Cobalt Logic - New workload,57000,Proposal,2026-08-17,2026-11-28,False,False,Tier 2,
OPP-00066,ACC-00151,Cobalt Logic - Enterprise rollout,57000,Closed Lost,2026-04-23,2026-05-19,True,False,Tier 2,
OPP-00067,ACC-00130,Cinder Systems - New workload,24000,Closed Lost,2026-08-27,2026-09-10,True,False,Tier 2,
OPP-00068,ACC-00086,Ridge Robotics - Platform renewal,96000,Closed Won,2026-05-19,2026-07-14,True,True,Tier 2,
OPP-00069,ACC-00086,Ridge Robotics - New workload,60000,Proposal,2026-08-04,2026-12-11,False,False,Tier 2,
OPP-00070,ACC-00042,Summit Works - Enterprise rollout,36000,Closed Lost,2026-03-30,2026-04-11,True,False,Tier 3,
OPP-00071,ACC-00166,Meridian AI - Platform renewal,36000,Closed Lost,2026-08-22,2026-08-25,True,False,Tier 3,
OPP-00072,ACC-00143,Delta Pay - New workload,48000,Closed Lost,2026-07-25,2026-08-08,True,False,Tier 3,
OPP-00073,ACC-00124,Orbit Labs Group - API expansion,24000,Closed Lost,2026-05-25,2026-07-16,True,False,Tier 3,
OPP-00074,ACC-00037,Nimbus Health - Platform renewal,36000,Closed Lost,2026-08-04,2026-08-15,True,False,Tier 3,
